cond,i,t_start_ms,t_end_ms,latency_ms,out_chars,out_bytes,parse_ok
A,1,34621678,34625367,3688,326,462,1
B,1,34625467,34628530,3062,165,451,
A,2,34628637,34632306,3668,326,462,1
B,2,34632406,34635461,3054,166,446,
A,3,34635562,34638017,2454,174,262,1
B,3,34638118,34640797,2679,140,376,
A,4,34640899,34645255,4355,403,565,1
B,4,34645355,34648288,2933,161,431,
A,5,34648389,34650825,2436,174,262,1
B,5,34650926,34653868,2942,161,439,
A,6,34653969,34657598,3628,326,462,1
B,6,34657699,34660648,2948,159,433,
A,7,34660748,34664405,3656,326,462,1
B,7,34664506,34667826,3319,180,488,
A,8,34667926,34670354,2428,174,262,1
B,8,34670455,34673848,3392,188,512,
A,9,34673948,34677590,3641,326,462,1
B,9,34677691,34680545,2853,155,421,
A,10,34680646,34683085,2439,174,262,1
B,10,34683186,34686511,3325,182,502,
A,11,34686612,34690272,3659,326,462,1
B,11,34690372,34693759,3387,187,509,
A,12,34693860,34697520,3660,326,462,1
B,12,34697621,34700449,2828,151,409,
A,13,34700550,34704230,3679,326,462,1
B,13,34704330,34708891,4560,277,775,
A,14,34708992,34712661,3669,326,462,1
B,14,34712763,34715768,3004,163,437,
A,15,34715868,34719545,3677,326,462,1
B,15,34719646,34722916,3270,180,496,
A,16,34723017,34726683,3666,326,462,1
B,16,34726785,34730484,3699,202,554,
A,17,34730584,34733028,2443,174,262,1
B,17,34733129,34736126,2997,165,443,
A,18,34736226,34739883,3656,326,462,1
B,18,34739984,34743168,3184,178,482,
A,19,34743269,34746931,3662,326,462,1
B,19,34747034,34750163,3128,170,458,
A,20,34750264,34753958,3694,326,462,1
B,20,34754059,34757369,3309,180,488,
A,21,34757469,34761137,3668,326,462,1
B,21,34761238,34764412,3173,173,467,
A,22,34764512,34768172,3659,326,462,1
B,22,34768281,34771004,2722,146,386,
A,23,34771105,34774781,3676,326,462,1
B,23,34774882,34777785,2903,159,433,
A,24,34777886,34781535,3649,326,462,1
B,24,34781637,34785136,3499,204,560,
A,25,34785237,34788899,3662,326,462,1
B,25,34789000,34791948,2948,159,425,
A,26,34792049,34794503,2454,175,265,1
B,26,34794604,34797844,3240,178,484,
A,27,34797946,34801659,3713,326,462,1
B,27,34801760,34804638,2877,154,418,
A,28,34804738,34808405,3667,326,462,1
B,28,34808506,34812250,3744,213,595,
A,29,34812351,34816013,3662,326,462,1
B,29,34816114,34819085,2971,161,439,
A,30,34819186,34822867,3681,326,462,1
B,30,34822968,34826149,3181,177,479,
A,31,34826250,34829902,3652,326,462,1
B,31,34830002,34833012,3009,166,446,
A,32,34833112,34836768,3655,326,462,1
B,32,34836868,34840158,3289,178,490,
A,33,34840260,34843937,3677,326,462,1
B,33,34844037,34847036,2999,164,440,
A,34,34847137,34850810,3672,326,462,1
B,34,34850910,34854264,3353,195,533,
A,35,34854365,34856808,2443,174,262,1
B,35,34856909,34859680,2771,147,389,
A,36,34859780,34863471,3690,326,462,1
B,36,34863572,34866478,2906,159,425,
A,37,34866579,34869012,2433,174,262,1
B,37,34869114,34872307,3193,180,488,
A,38,34872408,34876085,3676,326,462,1
B,38,34876185,34879540,3354,185,511,
A,39,34879641,34883316,3675,326,462,1
B,39,34883417,34886379,2962,166,446,
A,40,34886480,34890178,3697,326,462,1
B,40,34890278,34893419,3141,174,478,
A,41,34893520,34897206,3685,326,462,1
B,41,34897306,34900759,3452,196,536,
A,42,34900860,34904535,3675,326,462,1
B,42,34904636,34907797,3160,170,466,
A,43,34907897,34911545,3647,326,462,1
B,43,34911646,34915050,3404,193,529,
A,44,34915151,34918837,3686,326,462,1
B,44,34918938,34921920,2982,157,419,
A,45,34922021,34925652,3630,326,462,1
B,45,34925753,34928795,3042,163,445,
A,46,34928896,34931347,2450,174,262,1
B,46,34931448,34934611,3162,173,467,
A,47,34934711,34938415,3704,326,462,1
B,47,34938516,34941436,2920,159,425,
A,48,34941536,34944000,2463,174,262,1
B,48,34944101,34946825,2723,149,395,
A,49,34946926,34950598,3672,326,462,1
B,49,34950700,34953788,3087,172,464,
A,50,34953889,34957583,3693,327,465,1
B,50,34957685,34961228,3542,204,560,
A,51,34961328,34964997,3668,326,462,1
B,51,34965098,34968450,3352,186,506,
A,52,34968551,34972212,3661,326,462,1
B,52,34972313,34975113,2800,150,398,
A,53,34975216,34978894,3677,326,462,1
B,53,34978995,34983223,4227,247,697,
A,54,34983324,34986989,3665,326,462,1
B,54,34987089,34990007,2917,156,416,
A,55,34990108,34993762,3653,326,462,1
B,55,34993863,34997246,3383,184,500,
A,56,34997347,35001047,3699,327,465,1
B,56,35001147,35004911,3763,208,580,
A,57,35005012,35008666,3653,326,462,1
B,57,35008768,35011742,2974,161,431,
A,58,35011843,35015499,3655,326,462,1
B,58,35015599,35018557,2957,160,436,
A,59,35018657,35022344,3686,326,462,1
B,59,35022445,35025326,2880,157,427,
A,60,35025428,35029098,3670,326,462,1
B,60,35029199,35032564,3365,192,532,
A,61,35032665,35036337,3671,326,462,1
B,61,35036437,35039657,3219,184,500,
A,62,35039757,35043448,3691,327,465,1
B,62,35043549,35046651,3101,167,457,
A,63,35046752,35050433,3680,326,462,1
B,63,35050534,35053435,2900,157,419,
A,64,35053535,35057200,3665,326,462,1
B,64,35057301,35060069,2768,151,409,
A,65,35060171,35063821,3650,326,462,1
B,65,35063921,35066591,2670,144,388,
A,66,35066692,35070372,3679,326,462,1
B,66,35070473,35073258,2785,151,409,
A,67,35073359,35077054,3695,326,462,1
B,67,35077155,35080526,3371,191,529,
A,68,35080627,35084299,3671,326,462,1
B,68,35084399,35088121,3722,218,602,
A,69,35088222,35091891,3669,326,462,1
B,69,35091992,35095503,3510,193,535,
